file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,23ea190b,jwhisler1117,2025-10-10,08:34:17,-07:00,2025-10-10T08:34:17-07:00,0,25
style.css,2,css,23ea190b,jwhisler1117,2025-10-10,08:34:17,-07:00,2025-10-10T08:34:17-07:00,0,5
style.css,3,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,58
style.css,4,css,23ea190b,jwhisler1117,2025-10-10,08:34:17,-07:00,2025-10-10T08:34:17-07:00,1,32
style.css,5,css,23ea190b,jwhisler1117,2025-10-10,08:34:17,-07:00,2025-10-10T08:34:17-07:00,0,0
style.css,6,css,23ea190b,jwhisler1117,2025-10-10,08:34:17,-07:00,2025-10-10T08:34:17-07:00,0,0
style.css,7,css,51caa4b6,jwhisler1117,2025-10-21,17:05:48,-07:00,2025-10-21T17:05:48-07:00,0,39
style.css,8,css,36e8489d,jwhisler1117,2025-10-12,10:41:14,-07:00,2025-10-12T10:41:14-07:00,0,4
style.css,9,css,36e8489d,jwhisler1117,2025-10-12,10:41:14,-07:00,2025-10-12T10:41:14-07:00,1,23
style.css,10,css,36e8489d,jwhisler1117,2025-10-12,10:41:14,-07:00,2025-10-12T10:41:14-07:00,1,48
style.css,11,css,36e8489d,jwhisler1117,2025-10-12,10:41:14,-07:00,2025-10-12T10:41:14-07:00,0,0
style.css,12,css,1cb7ac1a,jwhisler1117,2025-10-12,10:43:28,-07:00,2025-10-12T10:43:28-07:00,0,0
style.css,13,css,51caa4b6,jwhisler1117,2025-10-21,17:05:48,-07:00,2025-10-21T17:05:48-07:00,0,30
style.css,14,css,bbbd9bf8,jwhisler1117,2025-09-29,16:35:48,-07:00,2025-09-29T16:35:48-07:00,0,4
style.css,15,css,bbbd9bf8,jwhisler1117,2025-09-29,16:35:48,-07:00,2025-09-29T16:35:48-07:00,1,29
style.css,16,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,15
style.css,17,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,15
style.css,18,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,18
style.css,19,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,12
style.css,20,css,bbbd9bf8,jwhisler1117,2025-09-29,16:35:48,-07:00,2025-09-29T16:35:48-07:00,1,17
style.css,21,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,0,0
style.css,22,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,17
style.css,23,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,16
style.css,24,css,51caa4b6,jwhisler1117,2025-10-21,17:05:48,-07:00,2025-10-21T17:05:48-07:00,1,48
style.css,25,css,bbbd9bf8,jwhisler1117,2025-09-29,16:35:48,-07:00,2025-09-29T16:35:48-07:00,0,0
style.css,26,css,bbbd9bf8,jwhisler1117,2025-09-29,16:35:48,-07:00,2025-09-29T16:35:48-07:00,0,0
style.css,27,css,51caa4b6,jwhisler1117,2025-10-21,17:05:48,-07:00,2025-10-21T17:05:48-07:00,0,34
style.css,28,css,af7e1076,jwhisler1117,2025-10-10,08:01:58,-07:00,2025-10-10T08:01:58-07:00,0,3
style.css,29,css,51caa4b6,jwhisler1117,2025-10-21,17:05:48,-07:00,2025-10-21T17:05:48-07:00,1,62
style.css,30,css,51caa4b6,jwhisler1117,2025-10-21,17:05:48,-07:00,2025-10-21T17:05:48-07:00,1,62
style.css,31,css,af7e1076,jwhisler1117,2025-10-10,08:01:58,-07:00,2025-10-10T08:01:58-07:00,1,13
style.css,32,css,af7e1076,jwhisler1117,2025-10-10,08:01:58,-07:00,2025-10-10T08:01:58-07:00,1,16
style.css,33,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,14
style.css,34,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,11
style.css,35,css,af7e1076,jwhisler1117,2025-10-10,08:01:58,-07:00,2025-10-10T08:01:58-07:00,0,0
style.css,36,css,bbbd9bf8,jwhisler1117,2025-09-29,16:35:48,-07:00,2025-09-29T16:35:48-07:00,0,0
style.css,37,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,26
style.css,38,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,0
style.css,39,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,0,45
style.css,40,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,5
style.css,41,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,0,27
style.css,42,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,0
style.css,43,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,0,13
style.css,44,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,3
style.css,45,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,39
style.css,46,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,12
style.css,47,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,22
style.css,48,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,43
style.css,49,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,20
style.css,50,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,20
style.css,51,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,8
style.css,52,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,0
style.css,53,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,0
style.css,54,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,0,34
style.css,55,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,5
style.css,56,css,51caa4b6,jwhisler1117,2025-10-21,17:05:48,-07:00,2025-10-21T17:05:48-07:00,1,13
style.css,57,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,20
style.css,58,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,13
style.css,59,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,17
style.css,60,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,13
style.css,61,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,15
style.css,62,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,21
style.css,63,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,26
style.css,64,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,0
style.css,65,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,0
style.css,66,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,10
style.css,67,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,11
style.css,68,css,fed84178,jwhisler1117,2025-10-12,10:26:48,-07:00,2025-10-12T10:26:48-07:00,1,63
style.css,69,css,23ea190b,jwhisler1117,2025-10-10,08:34:17,-07:00,2025-10-10T08:34:17-07:00,1,25
style.css,70,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,12
style.css,71,css,23ea190b,jwhisler1117,2025-10-10,08:34:17,-07:00,2025-10-10T08:34:17-07:00,1,45
style.css,72,css,23ea190b,jwhisler1117,2025-10-10,08:34:17,-07:00,2025-10-10T08:34:17-07:00,1,34
style.css,73,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,0
style.css,74,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,0
style.css,75,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,0,13
style.css,76,css,23ea190b,jwhisler1117,2025-10-10,08:34:17,-07:00,2025-10-10T08:34:17-07:00,1,45
style.css,77,css,346226a5,jwhisler1117,2025-10-10,08:30:01,-07:00,2025-10-10T08:30:01-07:00,1,34
style.css,78,css,23ea190b,jwhisler1117,2025-10-10,08:34:17,-07:00,2025-10-10T08:34:17-07:00,1,25
style.css,79,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,0,0
style.css,80,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,0,0
style.css,81,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,0,35
style.css,82,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,0,48
style.css,83,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,0,0
style.css,84,css,51caa4b6,jwhisler1117,2025-10-21,17:05:48,-07:00,2025-10-21T17:05:48-07:00,0,38
style.css,85,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,0,13
style.css,86,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,17
style.css,87,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,8
style.css,88,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,10
style.css,89,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,17
style.css,90,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,53
style.css,91,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,60
style.css,92,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,22
style.css,93,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,20
style.css,94,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,0,0
style.css,95,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,0,20
style.css,96,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,17
style.css,97,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,21
style.css,98,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,17
style.css,99,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,16
style.css,100,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,60
style.css,101,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,1,21
style.css,102,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,0,0
style.css,103,css,ca67f801,jwhisler1117,2025-10-12,10:32:53,-07:00,2025-10-12T10:32:53-07:00,0,0
style.css,104,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,0,29
style.css,105,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,0,4
style.css,106,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,1,12
style.css,107,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,1,30
style.css,108,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,7
style.css,109,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,17
style.css,110,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,15
style.css,111,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,18
style.css,112,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,15
style.css,113,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,0,0
style.css,114,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,0,10
style.css,115,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,1,12
style.css,116,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,29
style.css,117,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,18
style.css,118,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,10
style.css,119,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,0,0
style.css,120,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,0,9
style.css,121,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,0,13
style.css,122,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,1,20
style.css,123,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,60
style.css,124,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,1,22
style.css,125,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,17
style.css,126,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,16
style.css,127,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,1,21
style.css,128,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,0,0
style.css,129,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,0,11
style.css,130,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,18
style.css,131,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,18
style.css,132,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,1,17
style.css,133,css,bc3cddec,jwhisler1117,2025-10-12,10:38:03,-07:00,2025-10-12T10:38:03-07:00,1,69
style.css,134,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,1,30
style.css,135,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,1,11
style.css,136,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,1,22
style.css,137,css,00b5ca93,jwhisler1117,2025-10-10,08:38:47,-07:00,2025-10-10T08:38:47-07:00,1,14
